iteracion,van
0,1024986309.0
1,1024986309.0
2,1024986309.0
3,1024986309.0
4,1035284573.6666665
5,1035284573.6666665
6,1039340542.0
7,1077702765.6666665
8,1109786322.6666665
9,1109786322.6666665
10,1109786322.6666665
11,1109786322.6666665
12,1112239332.0
13,1133158343.0
14,1133158343.0
15,1133158343.0
16,1133158343.0
17,1133158343.0
18,1133158343.0
19,1133158343.0
20,1133158343.0
21,1133158343.0
22,1133158343.0
23,1133158343.0
24,1133158343.0
25,1133158343.0
26,1133158343.0
27,1158077944.0
28,1170539974.6666665
29,1170539974.6666665
30,1170539974.6666665
31,1170539974.6666665
32,1170539974.6666665
33,1170539974.6666665
34,1170539974.6666665
35,1170539974.6666665
36,1170539974.6666665
37,1170539974.6666665
38,1170539974.6666665
39,1170539974.6666665
40,1170539974.6666665
41,1170539974.6666665
42,1170539974.6666665
43,1170539974.6666665
44,1170539974.6666665
45,1170539974.6666665
46,1170539974.6666665
47,1170539974.6666665
48,1170539974.6666665
49,1170539974.6666665
50,1170586726.3333335
