iteracion,van
0,11280406002.333332
1,11367692213.0
2,11427535290.666668
3,11558148377.0
4,11590620807.0
5,11727604793.666668
6,11756537177.666668
7,12633537422.333332
8,12633537422.333332
9,12658989943.0
10,12785795750.666668
11,12822797903.0
12,12822797903.0
13,12822797903.0
14,12940311797.0
15,12961452632.666668
16,12961452632.666668
17,12961452632.666668
18,12961452632.666668
19,13002599930.666668
20,13016182506.0
21,13016182506.0
22,13016182506.0
23,13056749427.333332
24,13155539389.0
25,13155539389.0
26,13255253121.333332
27,13255253121.333332
28,13255253121.333332
29,13283953369.333332
30,13283953369.333332
31,13306587368.333332
32,13306587368.333332
33,13306587368.333332
34,13306587368.333332
35,13306587368.333332
36,13306587368.333332
37,13306587368.333332
38,13306587368.333332
39,13306587368.333332
40,13306587368.333332
41,13306587368.333332
42,13306587368.333332
43,13306587368.333332
44,13306587368.333332
45,13306587368.333332
46,13306587368.333332
47,13306587368.333332
48,13306587368.333332
49,13306587368.333332
50,13306587368.333332
51,13306587368.333332
52,13306587368.333332
53,13306587368.333332
54,13306587368.333332
55,13306587368.333332
56,13306587368.333332
57,13306587368.333332
58,13306587368.333332
59,13306587368.333332
60,13306587368.333332
61,13306587368.333332
62,13306587368.333332
63,13306587368.333332
64,13306587368.333332
65,13306587368.333332
66,13306587368.333332
67,13306587368.333332
68,13306587368.333332
69,13306587368.333332
70,13306587368.333332
71,13306587368.333332
72,13306587368.333332
73,13306587368.333332
74,13306587368.333332
75,13306587368.333332
76,13306587368.333332
77,13306587368.333332
78,13306587368.333332
79,13306587368.333332
80,13306587368.333332
81,13306587368.333332
82,13306587368.333332
83,13306587368.333332
84,13306587368.333332
85,13306587368.333332
86,13306587368.333332
87,13306587368.333332
88,13306587368.333332
89,13306587368.333332
90,13306587368.333332
91,13306587368.333332
92,13306587368.333332
93,13306587368.333332
94,13306587368.333332
95,13306587368.333332
96,13306587368.333332
97,13306587368.333332
98,13306587368.333332
99,13306587368.333332
100,13306587368.333332
101,13306587368.333332
102,13306587368.333332
103,13306587368.333332
104,13306587368.333332
105,13306587368.333332
106,13306587368.333332
107,13306587368.333332
108,13306587368.333332
109,13306587368.333332
110,13306587368.333332
111,13306587368.333332
112,13306587368.333332
113,13306587368.333332
114,13306587368.333332
115,13306587368.333332
116,13306587368.333332
117,13306587368.333332
118,13306587368.333332
119,13306587368.333332
120,13306587368.333332
121,13306587368.333332
122,13306587368.333332
123,13306587368.333332
124,13306587368.333332
125,13306587368.333332
126,13306587368.333332
127,13306587368.333332
128,13306587368.333332
129,13306587368.333332
130,13306587368.333332
131,13306587368.333332
132,13306587368.333332
133,13306587368.333332
134,13306587368.333332
135,13306587368.333332
136,13306587368.333332
137,13306587368.333332
138,13306587368.333332
139,13306587368.333332
140,13306587368.333332
141,13306587368.333332
142,13306587368.333332
143,13306587368.333332
144,13306587368.333332
145,13306587368.333332
146,13306587368.333332
147,13306587368.333332
148,13306587368.333332
149,13306587368.333332
150,13306587368.333332
151,13306587368.333332
152,13306587368.333332
153,13306587368.333332
154,13306587368.333332
155,13306587368.333332
156,13306587368.333332
157,13306587368.333332
158,13306587368.333332
159,13306587368.333332
160,13306587368.333332
161,13306587368.333332
162,13306587368.333332
163,13306587368.333332
164,13306587368.333332
165,13306587368.333332
166,13306587368.333332
167,13306587368.333332
168,13306587368.333332
169,13306587368.333332
170,13306587368.333332
171,13306587368.333332
172,13306587368.333332
173,13306587368.333332
174,13306587368.333332
175,13306587368.333332
176,13306587368.333332
177,13306587368.333332
178,13306587368.333332
179,13306587368.333332
180,13306587368.333332
181,13306587368.333332
182,13306587368.333332
183,13306587368.333332
184,13306587368.333332
185,13306587368.333332
186,13306587368.333332
187,13306587368.333332
188,13306587368.333332
189,13306587368.333332
190,13306587368.333332
191,13306587368.333332
192,13306587368.333332
193,13306587368.333332
194,13306587368.333332
195,13306587368.333332
196,13306587368.333332
197,13306587368.333332
198,13306587368.333332
199,13306587368.333332
200,13306587368.333332
201,13306587368.333332
202,13306587368.333332
203,13306587368.333332
204,13306587368.333332
205,13306587368.333332
206,13306587368.333332
207,13306587368.333332
208,13306587368.333332
209,13306587368.333332
210,13306587368.333332
211,13306587368.333332
212,13306587368.333332
213,13306587368.333332
214,13306587368.333332
215,13306587368.333332
216,13306587368.333332
217,13306587368.333332
218,13306587368.333332
219,13306587368.333332
220,13306587368.333332
221,13306587368.333332
222,13306587368.333332
223,13306587368.333332
224,13306587368.333332
225,13306587368.333332
226,13306587368.333332
227,13306587368.333332
228,13306587368.333332
229,13306587368.333332
230,13306587368.333332
231,13306587368.333332
232,13306587368.333332
233,13306587368.333332
234,13306587368.333332
235,13306587368.333332
236,13306587368.333332
237,13306587368.333332
238,13306587368.333332
239,13306587368.333332
240,13306587368.333332
241,13306587368.333332
242,13306587368.333332
243,13306587368.333332
244,13306587368.333332
245,13306587368.333332
246,13306587368.333332
247,13306587368.333332
248,13306587368.333332
249,13306587368.333332
250,13306587368.333332
251,13306587368.333332
252,13306587368.333332
253,13306587368.333332
254,13306587368.333332
255,13306587368.333332
256,13306587368.333332
257,13306587368.333332
258,13306587368.333332
259,13306587368.333332
260,13306587368.333332
261,13306587368.333332
262,13306587368.333332
263,13306587368.333332
264,13306587368.333332
265,13306587368.333332
266,13306587368.333332
267,13306587368.333332
268,13306587368.333332
269,13306587368.333332
270,13306587368.333332
271,13306587368.333332
272,13306587368.333332
273,13306587368.333332
274,13306587368.333332
275,13306587368.333332
276,13306587368.333332
277,13306587368.333332
278,13306587368.333332
279,13306587368.333332
280,13306587368.333332
281,13306587368.333332
282,13306587368.333332
283,13306587368.333332
284,13306587368.333332
285,13306587368.333332
286,13306587368.333332
287,13306587368.333332
288,13306587368.333332
289,13306587368.333332
290,13306587368.333332
291,13306587368.333332
292,13306587368.333332
293,13306587368.333332
294,13306587368.333332
295,13306587368.333332
296,13306587368.333332
297,13306587368.333332
298,13306587368.333332
299,13306587368.333332
300,13306587368.333332
