iteracion,van
0,15510878060.666666
1,15510878060.666666
2,15642717926.666666
3,15735655854.0
4,15735655854.0
5,15735655854.0
6,15735655854.0
7,15735655854.0
8,15735655854.0
9,15735655854.0
10,15735655854.0
11,15735655854.0
12,15735655854.0
13,15735655854.0
14,15739997987.0
15,15739997987.0
16,15739997987.0
17,15739997987.0
18,15739997987.0
19,15739997987.0
20,15739997987.0
21,15757979465.333334
22,15799352055.0
23,15799352055.0
24,15799352055.0
25,15806434217.0
26,15855102732.0
27,15855102732.0
28,15884897520.333334
29,16018404971.0
30,16018404971.0
31,16018404971.0
32,16018404971.0
33,16018404971.0
34,16018404971.0
35,16018404971.0
36,16018404971.0
37,16018404971.0
38,16018404971.0
39,16018404971.0
40,16018404971.0
41,16018404971.0
42,16018404971.0
43,16018404971.0
44,16018404971.0
45,16018404971.0
46,16018404971.0
47,16018404971.0
48,16018404971.0
49,16018404971.0
50,16018404971.0
51,16018404971.0
52,16018404971.0
53,16018404971.0
54,16018404971.0
55,16018404971.0
56,16018404971.0
57,16018404971.0
58,16018404971.0
59,16018404971.0
60,16018404971.0
61,16018404971.0
62,16018404971.0
63,16018404971.0
64,16018404971.0
65,16018404971.0
66,16018404971.0
67,16018404971.0
68,16018404971.0
69,16018404971.0
70,16018404971.0
71,16018404971.0
72,16018404971.0
73,16018404971.0
74,16018404971.0
75,16018404971.0
76,16018404971.0
77,16018404971.0
78,16018404971.0
79,16018404971.0
80,16018404971.0
81,16018404971.0
82,16018404971.0
83,16018404971.0
84,16018404971.0
85,16018404971.0
86,16018404971.0
87,16018404971.0
88,16018404971.0
89,16018404971.0
90,16018404971.0
91,16018404971.0
92,16018404971.0
93,16018404971.0
94,16018404971.0
95,16018404971.0
96,16018404971.0
97,16018404971.0
98,16018404971.0
99,16018404971.0
100,16018404971.0
