arrival_hour,express_basket__senior__card,express_basket__senior__cash,express_basket__pregnant__card,express_basket__pregnant__cash,express_basket__reduced_mobility__card,express_basket__reduced_mobility__cash,express_basket__no_priority__card,express_basket__no_priority__cash,self_checkout_fan__senior__card,self_checkout_fan__senior__cash,self_checkout_fan__pregnant__card,self_checkout_fan__pregnant__cash,self_checkout_fan__reduced_mobility__card,self_checkout_fan__reduced_mobility__cash,self_checkout_fan__no_priority__card,self_checkout_fan__no_priority__cash,family_cart__senior__card,family_cart__senior__cash,family_cart__pregnant__card,family_cart__pregnant__cash,family_cart__reduced_mobility__card,family_cart__reduced_mobility__cash,family_cart__no_priority__card,family_cart__no_priority__cash,weekly_planner__senior__card,weekly_planner__senior__cash,weekly_planner__pregnant__card,weekly_planner__pregnant__cash,weekly_planner__reduced_mobility__card,weekly_planner__reduced_mobility__cash,weekly_planner__no_priority__card,weekly_planner__no_priority__cash,regular__senior__card,regular__senior__cash,regular__pregnant__card,regular__pregnant__cash,regular__reduced_mobility__card,regular__reduced_mobility__cash,regular__no_priority__card,regular__no_priority__cash,deal_hunter__senior__card,deal_hunter__senior__cash,deal_hunter__pregnant__card,deal_hunter__pregnant__cash,deal_hunter__reduced_mobility__card,deal_hunter__reduced_mobility__cash,deal_hunter__no_priority__card,deal_hunter__no_priority__cash
8,0.015810276679841896,0.004446640316205534,0.006422924901185771,0.0,0.003952569169960474,0.0,0.21047430830039526,0.023715415019762844,0.007905138339920948,0.0004940711462450593,0.0014822134387351778,0.0,0.0009881422924901185,0.0,0.09288537549407115,0.0024703557312252965,0.006422924901185771,0.004446640316205534,0.0014822134387351778,0.0014822134387351778,0.0014822134387351778,0.001976284584980237,0.05731225296442688,0.06768774703557312,0.007411067193675889,0.0029644268774703555,0.0029644268774703555,0.0004940711462450593,0.0009881422924901185,0.0,0.10029644268774704,0.05928853754940711,0.011363636363636364,0.005434782608695652,0.004446640316205534,0.0,0.004940711462450593,0.0,0.14673913043478262,0.02717391304347826,0.007411067193675889,0.003458498023715415,0.001976284584980237,0.0004940711462450593,0.0009881422924901185,0.0,0.07658102766798419,0.021245059288537548
9,0.013138324243926624,0.0019831432821021317,0.004462072384729797,0.0,0.0017352503718393653,0.0007436787307882995,0.22508676251859197,0.03222607833415964,0.006941001487357461,0.0004957858205255329,0.0032226078334159644,0.0,0.0,0.0,0.08924144769459594,0.001487357461576599,0.0039662865642042635,0.006941001487357461,0.0017352503718393653,0.001487357461576599,0.0009915716410510659,0.0004957858205255329,0.06990580069410014,0.06346058502726822,0.008676251859196828,0.0037183936539414973,0.002726822012890431,0.001487357461576599,0.001487357461576599,0.0007436787307882995,0.10064452156668319,0.05230540406544373,0.007684680218145761,0.002974714923153198,0.00421417947446703,0.0,0.0012394645513138325,0.0004957858205255329,0.1494794248884482,0.02404561229548835,0.006445215666831929,0.0022310361923648984,0.0017352503718393653,0.0004957858205255329,0.0004957858205255329,0.0012394645513138325,0.07188894397620228,0.023797719385225583
10,0.013664596273291925,0.0027711419015766844,0.005733397037744864,9.555661729574773e-05,0.002866698518872432,9.555661729574773e-05,0.19053989488772097,0.02140468227424749,0.0046822742474916385,0.0003822264691829909,0.002866698518872432,9.555661729574773e-05,0.0007644529383659818,0.0,0.06918299092212135,0.00210224558050645,0.003248924988055423,0.004395604395604396,0.0009555661729574773,0.0009555661729574773,0.0002866698518872432,0.0009555661729574773,0.05389393215480172,0.050453893932154804,0.004586717630195891,0.0026755852842809363,0.001433349259436216,0.0006688963210702341,0.00047778308647873863,0.0003822264691829909,0.06994744386048733,0.03258480649784998,0.0075489727663640704,0.0013377926421404682,0.003822264691829909,0.0003822264691829909,0.001720019111323459,0.00047778308647873863,0.10912565695174391,0.017677974199713332,0.014237935977066412,0.0063067367415193505,0.005733397037744864,0.0015289058767319636,0.003631151457238414,0.0008600095556617295,0.21290014333492593,0.06755852842809365
11,0.0128952859971106,0.002514848306490449,0.005136711434533683,0.00021402964310557012,0.0020867890202793085,0.00021402964310557012,0.1882925785221253,0.021028412435122264,0.00444111509444058,5.350741077639253e-05,0.0010701482155278507,0.0,0.0008026111616458879,0.00010701482155278506,0.06725881534592541,0.0013376852694098132,0.00401305580822944,0.004173578040558617,0.001819251966397346,0.001016640804751458,0.0004815666969875328,0.0009631333939750656,0.052811814436299426,0.053025844079405,0.004708652148322542,0.0024613408957140565,0.0018727593771737385,0.0009631333939750656,0.0008561185724222805,0.0004815666969875328,0.06982717106319225,0.03997003584996522,0.008507678313446412,0.001712237144844561,0.002621863128043234,0.00037455187543474774,0.000909625983198673,0.0002675370538819627,0.10524907699716411,0.018299534485526247,0.015570656535930226,0.0054577558991920384,0.004922681791428113,0.0017657445556209534,0.0026753705388196263,0.0012306704478570283,0.2134410615870298,0.07009470811707422
12,0.010772520716385993,0.0013365410318096765,0.007297514033680834,0.00032076984763432237,0.002325581395348837,0.0003475006682705159,0.2619887730553328,0.028495054798182304,0.0031542368350708366,0.0003475006682705159,0.002218658112804063,0.0,0.0006415396952686447,0.0,0.07449879711307138,0.0015236567762630313,0.0018444266238973536,0.0022988505747126436,0.0014167334937182571,0.0011761561079925154,0.00045442395081529,0.0003475006682705159,0.049024325046778935,0.04688585939588345,0.002619620422346966,0.0018978882651697407,0.0019780807270783213,0.0008019246190858059,0.0005346164127238706,0.00029403902699812884,0.06410050788559209,0.03424218123496391,0.003314621758887998,0.0010425020048115477,0.002619620422346966,0.0002673082063619353,0.0006415396952686447,0.00018711574445335472,0.0905105586741513,0.01643945469125902,0.008446939321037156,0.003581929965249933,0.005586741512964448,0.0014167334937182571,0.0015503875968992248,0.00048115477145148355,0.19430633520449078,0.06442127773322641
13,0.010628982093788689,0.0016305824802971285,0.007609384908053266,0.00036235166228825073,0.00157019053658242,0.00024156777485883382,0.26010810157924935,0.028323821602198266,0.002868617326448652,0.00015097985928677114,0.002234501917444213,0.0,0.0005133315215750219,0.0,0.07419150285351934,0.0012984267898662318,0.0019929341425853793,0.0018117583114412538,0.0016305824802971285,0.0015399945647250656,0.0002113718030014796,0.00048313554971766764,0.05045746897363892,0.04946100190234623,0.0023854817767309843,0.001841954283298608,0.0021439140018721502,0.0007548992964338557,0.00045293957786031344,0.0004227436060029592,0.06271703354772473,0.03508771929824561,0.003985868285170759,0.0009058791557206269,0.002747833439019235,0.0002717637467161881,0.0008152912401485642,0.00018117583114412537,0.08862517740133466,0.016275628831113928,0.008454872120059184,0.003200773016879548,0.005888214512184075,0.0013286227617235861,0.0016305824802971285,0.00048313554971766764,0.19576048555122746,0.0643174200561645
14,0.010430875391157828,0.0013640375511514082,0.00906683784000642,0.0002407125090267191,0.002166412581240472,0.00016047500601781272,0.26173473481505255,0.028323838562143946,0.0032095001203562546,0.00032095001203562545,0.002005937575222659,8.023750300890636e-05,0.0005616625210623445,8.023750300890636e-05,0.07486159030730964,0.0012035625451335954,0.002005937575222659,0.0027280751023028163,0.0020861750782315653,0.0019257000722137528,0.0002407125090267191,0.0006419000240712509,0.048463451817379447,0.04870416432640616,0.0027280751023028163,0.0012838000481425018,0.0023268875872582847,0.0009628500361068764,0.0005616625210623445,0.0,0.062103827328893524,0.035384738826927706,0.0032897376233651607,0.001123325042124689,0.0029687876113295352,0.00016047500601781272,0.0007221375270801573,0.0004011875150445318,0.08938457835192169,0.01500441306266549,0.008023750300890637,0.0032897376233651607,0.006338762737703603,0.0016849875631870337,0.0019257000722137528,0.0006419000240712509,0.19136644467624167,0.06571451496429431
15,0.008883248730964468,0.0016595080046856697,0.004099960952752831,0.00048809058961343224,0.001952362358453729,0.0006833268254588052,0.20255759468957438,0.021573604060913704,0.002635689183912534,0.00029285435376805933,0.001952362358453729,0.0,0.0003904724716907458,0.0,0.07077313549394768,0.00048809058961343224,0.0023428348301444747,0.002733307301835221,0.0016595080046856697,0.001073799297149551,0.0001952362358453729,0.0003904724716907458,0.052225693088637254,0.05368996485747755,0.0020499804763764156,0.001757126122608356,0.002147598594299102,0.0007809449433814916,0.0001952362358453729,0.00029285435376805933,0.06882077313549395,0.0396329558766107,0.004099960952752831,0.0013666536509176104,0.004880905896134323,0.00029285435376805933,0.0009761811792268645,0.0003904724716907458,0.11118703631393986,0.018742678641155797,0.008590394377196407,0.0034166341272940256,0.0059547051932838735,0.0016595080046856697,0.0014642717688402968,0.0001952362358453729,0.21515033190160093,0.07321358844201484
16,0.00746029199422429,0.0016845820632119366,0.003850473287341569,0.00016043638697256537,0.0019252366436707845,0.00016043638697256537,0.20102679287662442,0.021899566821755173,0.0030482913524787422,0.00048130916091769613,0.0019252366436707845,0.0,0.001042836515321675,0.0,0.08519172148243222,0.0018450184501845018,0.00208567303064335,0.0021658912241296325,0.0008824001283491095,0.0016845820632119366,0.00024065458045884806,0.00032087277394513073,0.04949462538103642,0.05510989892507621,0.0029680731589924593,0.0024867639980747634,0.001283491095780523,0.0009626183218353923,0.0008021819348628269,0.00048130916091769613,0.07211615594416813,0.040109096743141344,0.0039306914808278515,0.0008824001283491095,0.0021658912241296325,0.00032087277394513073,0.001042836515321675,0.00016043638697256537,0.10508583346703032,0.01788865714744104,0.009866837798812771,0.0037702550938552865,0.0056152735440397885,0.0006417455478902615,0.0015241456762393711,0.00032087277394513073,0.21009144874057437,0.071795283170223
17,0.008901225114854517,0.0014356814701378254,0.0038284839203675345,0.00019142419601837673,0.0013878254211332312,0.0002871362940275651,0.1915677641653905,0.0222052067381317,0.0034934915773353753,0.00014356814701378255,0.0016271056661562022,9.571209800918837e-05,0.0006221286370597243,0.0,0.08437021439509954,0.0014356814701378254,0.0017706738131699846,0.002105666156202144,0.0012921133231240428,0.0012442572741194486,0.00038284839203675346,0.0007656967840735069,0.05230666156202144,0.05546516079632466,0.0030149310872894333,0.0017228177641653904,0.002105666156202144,0.0008135528330781011,0.00033499234303215926,0.00033499234303215926,0.06977411944869831,0.03708843797856049,0.0048813169984686065,0.0011006891271056662,0.0022013782542113325,0.00014356814701378255,0.0007656967840735069,0.0002392802450229709,0.11078675344563553,0.01875957120980092,0.007944104134762634,0.0039241960183767225,0.005359877488514548,0.0013878254211332312,0.0017228177641653904,0.0007178407350689127,0.21851071975497702,0.06943912710566616
18,0.004188735417315748,0.0008308235538477516,0.003981029528853809,0.00031155883269290684,0.0010385294423096896,3.461764807698965e-05,0.1745767992522588,0.02052826530965486,0.0022501471250043273,0.00017308824038494825,0.0022501471250043273,3.461764807698965e-05,0.00045002942500086546,6.92352961539793e-05,0.08754803198670683,0.0015924118115415238,0.0016616471076955032,0.0014539412192335654,0.0013500882750025964,0.0010385294423096896,0.0004154117769238758,0.00017308824038494825,0.06331567833281407,0.06369647246166095,0.0021116765326963686,0.0018693529961574412,0.0018693529961574412,0.0010039117942327,0.000692352961539793,0.00045002942500086546,0.0842939730674698,0.046318413127012154,0.0031155883269290683,0.0007615882576937722,0.002527088309620244,0.00045002942500086546,0.0006231176653858137,3.461764807698965e-05,0.107003150205975,0.019108941738498288,0.005677294284626303,0.002180911828850348,0.005123411915394468,0.001177000034617648,0.001280852978848617,0.0004154117769238758,0.20960985910617233,0.06933914909821026
19,0.004701873935264054,0.000545144804088586,0.004633730834752981,0.0001362862010221465,0.0015672913117546847,6.814310051107325e-05,0.175809199318569,0.021465076660988076,0.002385008517887564,0.000272572402044293,0.001908006814310051,0.0,0.0006814310051107325,0.0,0.08647359454855195,0.001908006814310051,0.0012265758091993186,0.0014310051107325383,0.001635434412265758,0.0008858603066439523,0.000272572402044293,0.000272572402044293,0.0644633730834753,0.05792163543441227,0.0014310051107325383,0.001635434412265758,0.0022487223168654175,0.0009540034071550255,0.00034071550255536625,0.000272572402044293,0.09001703577512776,0.046609880749574104,0.0025212947189097103,0.0008858603066439523,0.003270868824531516,0.0001362862010221465,0.000545144804088586,0.000272572402044293,0.10678023850085179,0.018330494037478707,0.005519591141396933,0.0020442930153321977,0.005110732538330494,0.0011584327086882453,0.0015672913117546847,0.000545144804088586,0.2068824531516184,0.07025553662691653
20,0.004703668861712135,0.0014111006585136407,0.0028222013170272815,0.0,0.00047036688617121356,0.0,0.17168391345249295,0.016933207902163686,0.003292568203198495,0.0,0.0023518344308560675,0.0,0.0014111006585136407,0.0,0.08607714016933207,0.0023518344308560675,0.0009407337723424271,0.00047036688617121356,0.0018814675446848542,0.0,0.00047036688617121356,0.00047036688617121356,0.06773283160865474,0.06538099717779869,0.003292568203198495,0.0023518344308560675,0.0014111006585136407,0.00047036688617121356,0.0009407337723424271,0.0,0.08043273753527752,0.05032925682031985,0.004703668861712135,0.00047036688617121356,0.0023518344308560675,0.0,0.0009407337723424271,0.00047036688617121356,0.10301034807149577,0.015522107243650047,0.0070555032925682035,0.0009407337723424271,0.0051740357478833494,0.0028222013170272815,0.0018814675446848542,0.0,0.2083725305738476,0.0761994355597366
21,0.006481481481481481,0.0,0.006481481481481481,0.0,0.000925925925925926,0.0,0.16666666666666666,0.021296296296296296,0.001851851851851852,0.0,0.0,0.0,0.001851851851851852,0.0,0.09814814814814815,0.000925925925925926,0.0,0.0,0.000925925925925926,0.000925925925925926,0.0,0.0,0.05092592592592592,0.04722222222222222,0.004629629629629629,0.000925925925925926,0.004629629629629629,0.000925925925925926,0.0,0.0,0.08055555555555556,0.02962962962962963,0.002777777777777778,0.001851851851851852,0.003703703703703704,0.002777777777777778,0.0,0.0,0.12962962962962962,0.025,0.006481481481481481,0.000925925925925926,0.007407407407407408,0.0,0.000925925925925926,0.0,0.22777777777777777,0.06481481481481481
